Skola,Skol_enhetskod,Skolkommun,Typ_av_huvudman,merit_snitt,Andel_svenskar_procent,Foraldrar_utbildning_procent,Elever_per_larare,Andel_med_lararlegitimation_och_,Ar,Huvudman
Mimerskolan,10023937,Sundsvall,Enskild,257.6,90,80.40000000000001,11.4,72.5,2018,Föreningen Mimers Brunn
Söderbymalmsskolan,10035236,Haninge,Kommunal,212.7,48.5,30.8,9.4,71.3,2016,Haninge
Söderbymalmsskolan,10035236,Haninge,Kommunal,206.8,39.9,33.8,10.3,77.2,2017,Haninge
Söderbymalmsskolan,10035236,Haninge,Kommunal,188.4,41.2,32.8,10.2,70.59999999999999,2018,Haninge
Söderbymalmsskolan,10035236,Haninge,Kommunal,210.6,50.6,31.5,11.7,74.8,2019,Haninge
Söderbymalmsskolan,10035236,Haninge,Kommunal,195.2,42.3,36.6,10.9,68.8,2020,Haninge
Söderbymalmsskolan,10035236,Haninge,Kommunal,204.6,44.2,46.9,11.1,69.8,2021,Haninge
Söderbymalmsskolan,10035236,Haninge,Kommunal,205.3,36.1,47.5,11.7,65.8,2022,Haninge
Söderbymalmsskolan,10035236,Haninge,Kommunal,191.8,41.9,41.4,11.6,66.40000000000001,2023,Haninge
Söderbymalmsskolan,10035236,Haninge,Kommunal,197.1,46,43.9,12.4,68.59999999999999,2024,Haninge
Söderbymalmsskolan,10035236,Haninge,Kommunal,203.2,44,41.3,11.3,60.4,2025,Haninge
Skapaskolan,10063280,Huddinge,Enskild,222.1,82.8,58.6,15,65.40000000000001,2021,The Learning Lab i Stockholm AB
Skapaskolan,10063280,Huddinge,Enskild,255.6,86.8,77.40000000000001,15.7,66.5,2022,The Learning Lab i Stockholm AB
Lärande Grundskola Skapa,10063280,Huddinge,Enskild,243.2,77.09999999999999,72.90000000000001,14.8,66.8,2023,The Learning Lab i Stockholm AB
Lärande Grundskola Skapa,10063280,Huddinge,Enskild,246.9,65.09999999999999,72.09999999999999,15.7,67,2024,The Learning Lab i Stockholm AB
